"id","Address","Cuisine","insertedAtTimestamp","Latitude","Longitude","Name","Number of Reviews","Open","Rating","Zip Code"
"eV_lsSEAjRWAxdlX44Omcw","46-10 Skillman Ave","american","24/02/2022 17:30:58","40.746276","'-73.917633","Quaint","243","N/A","4","11104"
"LZA0bWz_Xn--tSgiaPLlkw","1500 3rd Ave","healthy","24/02/2022 22:06:42","40.7780118756349","'-73.954891682209","sweetgreen","218","N/A","3","10028"
"7ov7U0U9UbzRjlLw7wL9bg","33-17 30th Ave","dessert","24/02/2022 16:40:01","40.7658014094971","'-73.9191635864046","The Teapsy New York","175","N/A","4.5","11103"
"lc7iFeJ6j3-hdMplOEI-sw","794 Broad Ave","pizza","24/02/2022 16:40:44","40.8394483","'-74.0039607","Ralpho's Pizza","81","N/A","4.5","07657"
"2YYXbDTL9G6LyuNvZGCvyQ","29-21 Astoria Blvd","chinese","24/02/2022 22:09:49","40.770487844385265","'-73.91895974878074","Astoria Dragon and Phoenix","17","N/A","4.5","11102"
"qvFMYmhpCFPFedYsNlOkPg","537 Edgecombe Ave","brunch","24/02/2022 22:05:07","40.83323","'-73.93942","Company on Edgecombe","51","N/A","4.5","10032"
"eGfpa9r0aGtN3V8ZwgaOEw","1647 2nd Ave","brunch","24/02/2022 22:10:18","40.7775579","'-73.9521892","The Supply House","360","N/A","4","10028"
"zASGm-RyRNTY2xQir2nV_w","119 Kent Ave","healthy","24/02/2022 21:56:48","40.720138288951354","'-73.96157921170422","Jajaja Mexicana","37","N/A","4","11249"
"fowyb5DnUydqFodInCQyQQ","47-23 Vernon Blvd","pizza","24/02/2022 17:31:03","40.74494463643489","'-73.95312334111576","Centro Pizza Bar & Italian Kitchen","173","N/A","3.5","11101"
"TwxP5xU_xyzlf7SVzCnpuA","347 1st Ave","healthy","24/02/2022 22:13:42","40.73528","'-73.98003","Proong Noodle Bar","178","N/A","4.5","10010"
"ZVtui4cnUs7iXRJMDD1GwA","3217 Bergenline Ave","mexican","24/02/2022 16:12:52","40.7725668","'-74.0291146","El Rey Del Taco","55","N/A","4","07087"
"23keT4nl99-UhTtpTzlB8w","854 W 181st St","brunch","24/02/2022 22:05:10","40.851159","'-73.940156","181 Cabrini","249","N/A","3.5","10033"
"GKtDff3k1f3v3Pr9hQEjnA","541 River Rd","seafood","24/02/2022 22:04:03","40.82683","'-73.97355","The Yacht Club","112","N/A","3","07020"
"RrPIJvmje1qb9iaYd6jH0g","128 Montague St","thai","24/02/2022 22:13:59","40.69461303547711","'-73.99426770000436","Brooklyn Farm","235","N/A","4","11201"
"T_72OxeFKvdzX-mKEztHdQ","5740 Broadway","japanese","24/02/2022 22:04:45","40.882742","'-73.901366","Flame","130","N/A","4","10463"
"_ArDQIKj5qHgmwNnnIaIIg","49-08 43rd Ave","thai","24/02/2022 16:39:53","40.7445421133747","'-73.9154577255249","I Am Thai Restaurant","294","N/A","4","11377"
"1ZKbUeFAs0ltSnAYq4ELKw","21-76 31st St","italian","24/02/2022 22:09:42","40.77648209257472","'-73.91059675544598","Trattoria L'incontro","1010","N/A","4.5","11105"
"lOSLnTElmUVC_vCP0q23TA","1477 York Ave","pizza","24/02/2022 22:01:33","40.7708511352539","'-73.950927734375","Salvo's Pizzabar","316","N/A","4","10075"
"95bPhynOQ4bHoUqJJv6UEQ","126 MacDougal St","chinese","24/02/2022 16:11:29","40.73003","'-74.00034","Crop Circle","94","N/A","4.5","10012"
"uiQ6p_3biJD5S4PrF58t_g","21 W 39th St","chinese","24/02/2022 16:11:29","40.75226727202543","'-73.9836107151638","Szechuan Gourmet","841","N/A","3.5","10018"
"zg9Jrtx9rqTXeaqufSOxHQ","887 9th Ave","italian","24/02/2022 16:12:47","40.7684","'-73.98558","Masseria dei Vini","481","N/A","4","10019"
"LRgB2kEKtBxqIxNksTO_PQ","35 Broadway","italian","24/02/2022 16:52:18","40.7109154314181","'-73.9673637711639","Patrizia's - Williamsburg","722","N/A","4","11249"
"hFmz7HH2og9hn7xNNv20yw","37 Washington Ave","pizza","24/02/2022 16:39:13","40.6974427","'-73.9675197","Il Porto Ristorante & Wood Fired Pizza","349","N/A","4","11205"
"JP5DnHbYWBxGRjy9_16TdQ","201 W 103rd St","pizza","24/02/2022 16:40:14","40.798755","'-73.9673646","Bosino","45","N/A","4.5","10025"
"30doHGlJ4vzjNoz1A7Q3Kw","12 W Fordham Rd","seafood","24/02/2022 16:40:59","40.8626633","'-73.9017381","Hook & Catch Cajun Seafood","3","N/A","2.5","10468"
"JI_teX5hC2rvHRbAo9JRTw","19 Greenwich Ave","american","24/02/2022 22:12:16","40.7345","'-74.00004","Quality Eats","475","N/A","4","10014"
"PHSsvGDW6Rh2pGWEDTrDew","315 10th Ave","american","24/02/2022 16:41:41","40.75105092190377","'-74.00194808204913","Death Ave","609","N/A","4","10001"
"NlmP5x_Ykznd55Dc85ChUg","523 9th Ave","pizza","24/02/2022 16:13:03","40.7567","'-73.99411","Nittis","238","N/A","4.5","10018"
"ckuFutONOBo_rrscCkLUBw","33-19 36th Ave","japanese","24/02/2022 22:01:28","40.755651","'-73.927372","Susuru Ramen","72","N/A","5","11106"
"hdiQrGDT8enOzpxaipBzNA","223 1st Ave","chinese","24/02/2022 16:11:29","40.7309882","'-73.983084","Mee Noodle Shop & Grill","134","N/A","3","10003"
"6xPlSpyxE3PLJVeRvt2BwQ","51 Chrystie St","japanese","24/02/2022 16:11:38","40.7162999","'-73.99496","Yaya Tea Garden","508","N/A","4","10002"
"_0JyovookSBUGzPoMaZi2A","467 Dekalb Ave","dessert","24/02/2022 16:39:31","40.69076","'-73.95842","Initial Tea","61","N/A","4.5","11205"
"lWOkeS-wV4no8qqA9OwwEg","379 Grand St","dessert","24/02/2022 22:14:20","40.71632","'-73.98848","Doughnut Plant","3301","N/A","4.5","10002"
"w-GSdTRGTE44AN9D2uTLWw","1396 Madison Ave","korean","24/02/2022 22:10:21","40.787888","'-73.954046","Momo 97","48","N/A","4","10029"
"he4wG_xmKaPW77p3re_7Lg","345 Adams St","pizza","24/02/2022 16:11:40","40.6926244183216","'-73.9884449855341","Norm's Pizza","79","N/A","4","11201"
"ZOpnIsm7ihoO1gq2YmGdzw","142 W 72nd St","japanese","24/02/2022 22:03:07","40.777836","'-73.980476","Zurutto Ramen & Gyoza Bar","434","N/A","4","10023"
"tsK6f3xyjfLTM7xtD1ZY-A","2109 Broadway","pizza","24/02/2022 22:03:16","40.77991","'-73.9818","Neapolitan Express","6","N/A","4.5","10023"
"'--SoNTeCXFUx56no0OgibQ","84 E 10th St","chinese","24/02/2022 17:39:42","40.730861","'-73.989941","Bites of Xi'an","48","N/A","4.5","10003"
"A_fZL0ir_actclrL-ePTOw","475 B Myrtle Ave","chinese","24/02/2022 16:52:20","40.69354","'-73.96627","JJ Kitchen","24","N/A","4.5","11205"
"Tp0dQWXC7hsO55Exf_YpPg","24 Navy Pier Ct","brunch","24/02/2022 16:11:46","40.62880951488604","'-74.073664","Wynwood Restaurant ","51","N/A","4","10304"
"escMR9M42UsHQIglAz1pJw","31-13 Ditmars Blvd","brunch","24/02/2022 16:12:28","40.775832308033","'-73.9100879056678","Bubba's Bistro","390","N/A","4","11105"
"'-9MLyUR2SyI2zXBBvksj3A","213 2nd Ave","brunch","24/02/2022 22:11:29","40.73183","'-73.98557","Jackdaw","144","N/A","4","10003"
"KMrQFZY20m4-Dnu3VGltrg","998 Amsterdam Ave","american","24/02/2022 22:09:56","40.8027668786632","'-73.9640214206238","The Hamilton","117","N/A","4.5","10025"
"U3Ueh2bHtp3DLjrdc5w5fQ","906 2nd Ave","dessert","24/02/2022 22:09:37","40.753781","'-73.9689989","Remi Flower & Coffee","440","N/A","4.5","10017"
"5L0AeV80169RuQ6DpxCczg","1505 Lexington Ave","pizza","24/02/2022 22:10:10","40.78665","'-73.95019","Bardolino Pizza","57","N/A","3.5","10029"
"dMU62c3NKm7AFy90sA-Xtw","337 W 14th St","japanese","24/02/2022 16:41:43","40.74066","'-74.00426","Kogane Ramen-Manhattan","222","N/A","4.5","10014"
"T-t9GtsWKU7LZV7jloCTuA","1080 6th Ave","korean","24/02/2022 16:11:50","40.7539221","'-73.9845647","Ta-Da Chicken","1","N/A","4","10018"
